['3', 'Democratic', 'Liberal', 'White', 'Female', 'Catholic', '50000-74999', 'College', '45-64', 'Midwest', 'Approve', 'Obama'], Obama
['4', 'Democratic', 'Liberal', 'Black', 'Female', 'Protestant', '150000+', 'H.S. diploma or less', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['5', 'Independent', 'Moderate', 'White', 'Female', 'Catholic', '100000-149999', 'Post-Grad', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['6', 'Democratic', 'Moderate', 'White', 'Female', 'Protestant', '30000-49999', 'Post-Grad', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['7', 'Republican', 'Conservative', 'White', 'Female', 'Protestant', '100000-149999', 'H.S. diploma or less', '65+', 'Northeast', 'Disapprove', 'McCain'], McCain
['8', 'Independent', 'Conservative', 'White', 'Male', 'Protestant', '150000+', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['9', 'Republican', 'Conservative', 'White', 'Female', 'Protestant', '50000-74999', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['10', 'Independent', 'Liberal', 'White', 'Male', 'Catholic', '100000-149999', 'College', '18-29', 'Northeast', 'Approve', 'Obama'], Obama
['11', 'Republican', 'Moderate', 'Black', 'Male', 'Protestant', '150000+', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['12', 'Democratic', 'Moderate', 'White', 'Female', 'Catholic', '100000-149999', 'College', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['13', 'Independent', 'Moderate', 'White', 'Male', 'Catholic', '30000-49999', 'Post-Grad', '30-44', 'Midwest', 'Approve', 'Obama'], Obama
['14', 'Independent', 'Conservative', 'White', 'Male', 'Protestant', '30000-49999', 'College', '45-64', 'Northeast', 'Approve', 'Obama'], Obama
['15', 'Republican', 'Conservative', 'Other', 'Male', 'Catholic', '30000-49999', 'College', '65+', 'Midwest', 'Approve', 'McCain'], McCain
['16', 'Democratic', 'Moderate', 'White', 'Female', 'Catholic', '50000-74999', 'Post-Grad', '65+', 'Northeast', 'Approve', 'McCain'], McCain
['17', 'Republican', 'Conservative', 'White', 'Female', 'Catholic', '50000-74999', 'College', '30-44', 'Northeast', 'Disapprove', 'Obama'], Obama
['18', 'Independent', 'Conservative', 'White', 'Female', 'Other', '100000-149999', 'College', '65+', 'Northeast', 'Disapprove', 'McCain'], McCain
['19', 'Independent', 'Moderate', 'White', 'Female', 'Other', '50000-74999', 'H.S. diploma or less', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['20', 'Democratic', 'Moderate', 'White', 'Female', 'Other', '100000-149999', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['21', 'Independent', 'Moderate', 'White', 'Female', 'Protestant', '50000-74999', 'H.S. diploma or less', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['22', 'Democratic', 'Moderate', 'Other', 'Male', 'Protestant', '150000+', 'H.S. diploma or less', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['23', 'Independent', 'Conservative', 'White', 'Male', 'Protestant', '100000-149999', 'College', '18-29', 'West', 'Disapprove', 'Obama'], Obama
['24', 'Democratic', 'Liberal', 'Other', 'Male', 'Catholic', '100000-149999', 'College', '45-64', 'West', 'Disapprove', 'Obama'], Obama
['25', 'Democratic', 'Conservative', 'White', 'Male', 'Protestant', '30000-49999', 'College', '45-64', 'Midwest', 'Disapprove', 'Obama'], Obama
['26', 'Republican', 'Liberal', 'Black', 'Male', 'Catholic', '30000-49999', 'College', '45-64', 'Northeast', 'Approve', 'Obama'], Obama
['27', 'Democratic', 'Liberal', 'White', 'Male', 'Other', '50000-74999', 'Post-Grad', '18-29', 'Northeast', 'Disapprove', 'Obama'], Obama
['28', 'Independent', 'Moderate', 'White', 'Female', 'Other', '30000-49999', 'Post-Grad', '45-64', 'Northeast', 'Approve', 'Obama'], Obama
['29', 'Democratic', 'Moderate', 'Other', 'Female', 'Other', '50000-74999', 'Post-Grad', '18-29', 'Northeast', 'Approve', 'Obama'], Obama
['30', 'Independent', 'Conservative', 'White', 'Female', 'Other', '100000-149999', 'College', '18-29', 'South', 'Disapprove', 'Obama'], Obama
['31', 'Republican', 'Moderate', 'White', 'Male', 'Protestant', '100000-149999', 'H.S. diploma or less', '18-29', 'Midwest', 'Approve', 'Obama'], Obama
['32', 'Democratic', 'Conservative', 'White', 'Female', 'Protestant', '100000-149999', 'College', '30-44', 'South', 'Disapprove', 'Obama'], Obama
['33', 'Republican', 'Liberal', 'White', 'Male', 'Protestant', '100000-149999', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['34', 'Independent', 'Liberal', 'White', 'Male', 'Protestant', '30000-49999', 'College', '30-44', 'Midwest', 'Disapprove', 'Obama'], Obama
['35', 'Independent', 'Moderate', 'White', 'Female', 'Catholic', 'Less than 30000', 'Post-Grad', '18-29', 'Northeast', 'Approve', 'Obama'], Obama
['36', 'Democratic', 'Liberal', 'White', 'Male', 'Protestant', '30000-49999', 'College', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['37', 'Independent', 'Moderate', 'Other', 'Male', 'Protestant', '75000-99999', 'Post-Grad', '45-64', 'Northeast', 'Disapprove', 'Obama'], Obama
['38', 'Democratic', 'Moderate', 'Black', 'Female', 'Catholic', '30000-49999', 'College', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['39', 'Republican', 'Liberal', 'White', 'Male', 'Protestant', '100000-149999', 'College', '45-64', 'West', 'Disapprove', 'McCain'], McCain
['40', 'Democratic', 'Liberal', 'Black', 'Female', 'Other', '50000-74999', 'H.S. diploma or less', '45-64', 'South', 'Disapprove', 'Obama'], Obama
['41', 'Democratic', 'Moderate', 'White', 'Female', 'Other', '50000-74999', 'H.S. diploma or less', '18-29', 'South', 'Disapprove', 'Obama'], Obama
['42', 'Independent', 'Moderate', 'White', 'Female', 'Other', '150000+', 'College', '30-44', 'South', 'Approve', 'Obama'], Obama
